MSSubClass,MSZoning,LotFrontage,LotShape,LandContour,LotConfig,Neighborhood,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,ScreenPorch,SaleCondition,YrSold,0,1
120,RH,26.0,IR1,Lvl,FR2,NAmes,7.0,5.0,1999.0,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1337.0,0.0,1337.0,1.0,0.0,Gd,5.0,Typ,1.0,Fa,Fin,2.0,511.0,Y,203.0,0.0,Normal,2010.0,12.11470664075881,182536.72064139423
160,RM,21.0,Reg,Lvl,Inside,BrDale,6.0,5.0,1971.0,Gable,HdBoard,TA,CBlock,TA,No,Rec,TA,Y,483.0,504.0,987.0,0.0,1.0,TA,5.0,Typ,0.0,,Unf,1.0,264.0,Y,275.0,0.0,Normal,2010.0,11.469929488084237,95791.52438615148
160,RM,21.0,Reg,Lvl,Inside,BrDale,5.0,5.0,1971.0,Gable,HdBoard,TA,CBlock,TA,No,Rec,TA,Y,525.0,567.0,1092.0,0.0,1.0,TA,6.0,Typ,0.0,,Unf,1.0,320.0,Y,0.0,0.0,Normal,2010.0,11.450536400689142,93951.72830577227
160,RL,24.0,Reg,Lvl,FR2,NPkVill,6.0,6.0,1975.0,Gable,Plywood,TA,CBlock,TA,No,ALQ,TA,Y,855.0,601.0,1456.0,0.0,1.0,Gd,6.0,Typ,1.0,TA,Unf,2.0,440.0,Y,173.0,0.0,Normal,2010.0,12.004179494968817,163436.44774821543
120,RL,24.0,Reg,Lvl,FR2,NPkVill,7.0,6.0,1975.0,Gable,Plywood,TA,CBlock,Gd,No,Unf,Ex,Y,836.0,0.0,836.0,0.0,0.0,TA,4.0,Typ,0.0,,Unf,1.0,308.0,Y,0.0,0.0,Normal,2010.0,11.756899417990804,127631.10860079003
60,RL,102.0,IR1,Lvl,Inside,NridgHt,9.0,5.0,2010.0,Gable,VinylSd,Ex,PConc,Ex,No,Unf,Ex,Y,1627.0,707.0,2334.0,0.0,1.0,Ex,10.0,Typ,1.0,Gd,Fin,3.0,751.0,Y,144.0,0.0,Partial,2010.0,12.716419940977397,333173.9286873285
20,RL,94.0,IR1,Lvl,Corner,NridgHt,8.0,5.0,2010.0,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1544.0,0.0,1544.0,0.0,0.0,Gd,7.0,Typ,0.0,,RFn,3.0,868.0,Y,0.0,0.0,Partial,2010.0,12.376217962971202,237095.42186078784
20,RL,90.0,Reg,Lvl,Inside,NridgHt,9.0,5.0,2005.0,Hip,VinylSd,Gd,PConc,Ex,No,GLQ,Ex,Y,1698.0,0.0,1698.0,0.0,0.0,Ex,7.0,Typ,1.0,Gd,Fin,3.0,730.0,Y,192.0,0.0,Normal,2010.0,12.608912351916315,299213.41248930705
20,RL,79.0,IR1,Lvl,Inside,NridgHt,8.0,5.0,2006.0,Hip,CemntBd,Gd,PConc,Ex,No,GLQ,Ex,Y,1822.0,0.0,1822.0,0.0,0.0,Ex,8.0,Typ,1.0,Gd,RFn,3.0,678.0,Y,0.0,0.0,Normal,2010.0,12.579681434820886,290593.72447432694
20,RL,110.0,Reg,HLS,Inside,NridgHt,9.0,5.0,2004.0,Hip,VinylSd,Ex,PConc,Ex,Gd,GLQ,Ex,Y,2696.0,0.0,2696.0,1.0,1.0,Ex,10.0,Typ,2.0,Gd,Fin,3.0,958.0,Y,220.0,0.0,Normal,2010.0,12.946665631061014,419435.7484999429
60,RL,105.0,Reg,Lvl,Corner,NridgHt,8.0,5.0,2002.0,Gable,VinylSd,Gd,PConc,Gd,Gd,GLQ,Ex,Y,1687.0,563.0,2250.0,1.0,1.0,Gd,7.0,Typ,1.0,Ex,Fin,3.0,756.0,Y,238.0,0.0,Normal,2010.0,12.717370470524157,333490.77091084764
120,RL,41.0,IR1,Lvl,Inside,NridgHt,8.0,5.0,2006.0,Gable,VinylSd,Gd,PConc,Gd,Mn,GLQ,Ex,Y,1370.0,0.0,1370.0,0.0,0.0,Gd,6.0,Typ,1.0,Gd,RFn,2.0,484.0,Y,120.0,0.0,Normal,2010.0,12.364101863805901,234240.08293287817
20,RL,100.0,IR1,Lvl,Corner,Gilbert,6.0,5.0,2005.0,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1324.0,0.0,1324.0,0.0,0.0,Gd,6.0,Typ,0.0,,Fin,2.0,430.0,Y,36.0,0.0,Normal,2010.0,12.036764022022531,168849.6616601978
120,RL,43.0,Reg,Lvl,Inside,Blmngtn,7.0,5.0,2006.0,Gable,VinylSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,1145.0,0.0,1145.0,0.0,0.0,Gd,6.0,Typ,0.0,,Fin,2.0,437.0,Y,100.0,0.0,Normal,2010.0,12.12080791990159,183653.8325682563
80,RL,67.0,IR1,Lvl,Inside,Gilbert,7.0,5.0,2004.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,744.0,630.0,1374.0,1.0,1.0,Gd,7.0,Typ,1.0,Gd,Fin,2.0,400.0,Y,100.0,0.0,Normal,2010.0,12.17462813871714,193808.94606841652
60,RL,63.0,IR1,Lvl,Inside,Gilbert,7.0,5.0,2004.0,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,847.0,886.0,1733.0,0.0,1.0,Gd,7.0,Typ,1.0,Gd,Fin,2.0,433.0,Y,144.0,0.0,Normal,2010.0,12.189478320105724,196708.5203883426
60,RL,60.0,IR2,Lvl,CulDSac,NoRidge,8.0,5.0,1998.0,Hip,VinylSd,Gd,PConc,Ex,No,Unf,Ex,Y,1645.0,830.0,2475.0,0.0,1.0,Gd,7.0,Typ,1.0,TA,Fin,3.0,962.0,Y,23.0,256.0,Normal,2010.0,12.685665621689628,323083.3510462361
20,RL,73.0,Reg,Lvl,Inside,Somerst,8.0,5.0,2006.0,Gable,VinylSd,Gd,PConc,Gd,,Unf,Ex,Y,1595.0,0.0,1595.0,0.0,0.0,Gd,6.0,Typ,1.0,Gd,RFn,3.0,880.0,Y,144.0,0.0,Normal,2010.0,12.357455964102636,232688.50835057217
20,FV,92.0,Reg,Lvl,Inside,Somerst,7.0,5.0,2010.0,Hip,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,1218.0,0.0,1218.0,0.0,0.0,Gd,4.0,Typ,0.0,,RFn,2.0,676.0,Y,0.0,0.0,Partial,2010.0,12.148958053936349,188897.1666056406
20,FV,84.0,Reg,Lvl,Corner,Somerst,6.0,5.0,2005.0,Gable,VinylSd,Gd,PConc,Ex,No,GLQ,Ex,Y,1468.0,0.0,1468.0,1.0,0.0,Gd,6.0,Typ,1.0,Gd,Fin,2.0,528.0,Y,0.0,216.0,Normal,2010.0,12.357346547355107,232663.04972362655
60,RL,70.0,Reg,Lvl,Inside,SawyerW,7.0,5.0,2004.0,Gable,VinylSd,Gd,PConc,Gd,Av,Unf,Ex,Y,831.0,828.0,1659.0,0.0,1.0,Gd,8.0,Typ,0.0,,RFn,2.0,484.0,Y,144.0,0.0,Normal,2010.0,12.115944446850909,182762.80560204023
30,RH,70.0,Reg,Lvl,Corner,SawyerW,5.0,5.0,1950.0,Gable,Wd Sdng,TA,BrkTil,TA,No,Unf,TA,N,1012.0,0.0,1012.0,0.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,429.0,Y,121.0,0.0,Normal,2010.0,11.502391807200585,98952.16269164294
20,RL,39.0,IR1,Lvl,CulDSac,Sawyer,6.0,6.0,2002.0,Hip,Plywood,TA,CBlock,TA,Gd,BLQ,Ex,Y,1494.0,0.0,1494.0,1.0,0.0,TA,7.0,Typ,2.0,Fa,Fin,2.0,461.0,Y,296.0,0.0,Abnorml,2010.0,12.098120856949045,179534.17467473794
60,RL,85.0,IR1,Lvl,Inside,NoRidge,8.0,5.0,1993.0,Gable,HdBoard,Gd,PConc,Gd,No,LwQ,Ex,Y,1251.0,1098.0,2349.0,1.0,1.0,Gd,9.0,Typ,1.0,TA,RFn,3.0,762.0,Y,32.0,0.0,Normal,2010.0,12.557157410247292,284121.54764436645
60,RL,88.0,Reg,Lvl,Inside,NoRidge,8.0,5.0,1993.0,Gable,HdBoard,Gd,PConc,Gd,No,GLQ,Ex,Y,1402.0,823.0,2225.0,1.0,1.0,Gd,7.0,Typ,1.0,TA,RFn,3.0,713.0,Y,198.0,0.0,Normal,2010.0,12.594338884270694,294884.45607358264
120,FV,25.0,IR1,Lvl,CulDSac,Somerst,7.0,5.0,2005.0,Gable,MetalSd,Gd,PConc,Ex,Av,GLQ,Ex,Y,1488.0,0.0,1488.0,1.0,0.0,Gd,6.0,Typ,1.0,Gd,Fin,2.0,506.0,Y,168.0,0.0,Normal,2010.0,12.432252804784056,250760.3057759654
160,FV,39.0,Reg,Lvl,Inside,Somerst,7.0,5.0,2004.0,Gable,VinylSd,Gd,PConc,Gd,No,Unf,Ex,Y,840.0,840.0,1680.0,0.0,1.0,Gd,3.0,Typ,0.0,,RFn,2.0,588.0,Y,0.0,0.0,Normal,2010.0,12.148963813356685,188898.25454695636
160,FV,30.0,Reg,Lvl,Inside,Somerst,7.0,5.0,2004.0,Gable,MetalSd,Gd,PConc,Gd,Av,GLQ,Ex,Y,600.0,600.0,1200.0,0.0,1.0,Gd,4.0,Typ,0.0,,RFn,2.0,480.0,Y,0.0,0.0,Normal,2010.0,12.080161495975911,176338.63642710712
160,FV,24.0,Reg,Lvl,Inside,Somerst,7.0,5.0,2005.0,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,600.0,600.0,1200.0,1.0,1.0,Gd,4.0,Typ,0.0,,RFn,2.0,480.0,Y,0.0,0.0,Normal,2010.0,12.076753929381855,175738.77339743
160,FV,24.0,Reg,Lvl,Inside,Somerst,6.0,5.0,2005.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,600.0,636.0,1236.0,1.0,1.0,Gd,4.0,Typ,0.0,,RFn,2.0,480.0,Y,0.0,0.0,Normal,2010.0,12.049269098712227,170974.39692879893
160,FV,,Reg,Lvl,Corner,Somerst,6.0,5.0,2000.0,Gable,MetalSd,Gd,PConc,Gd,No,GLQ,Ex,Y,756.0,756.0,1512.0,1.0,1.0,Gd,5.0,Typ,0.0,,Unf,2.0,440.0,Y,0.0,0.0,Normal,2010.0,12.137633049536033,186769.97333454652
160,FV,,IR1,Lvl,FR2,Somerst,7.0,5.0,2003.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,530.0,550.0,1080.0,0.0,1.0,Gd,4.0,Typ,0.0,,RFn,2.0,496.0,Y,0.0,0.0,Normal,2010.0,12.024790384216697,166839.9726225285
20,FV,57.0,IR1,Lvl,Inside,Somerst,8.0,5.0,2010.0,Gable,CemntBd,Gd,PConc,Ex,No,GLQ,Ex,Y,1418.0,0.0,1418.0,1.0,1.0,Gd,6.0,Typ,1.0,Gd,RFn,3.0,852.0,Y,160.0,0.0,Partial,2010.0,12.503883200908298,269381.3198993681
60,FV,68.0,IR1,Lvl,Inside,Somerst,8.0,5.0,2000.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,975.0,873.0,1848.0,1.0,1.0,Gd,7.0,Typ,1.0,TA,RFn,2.0,592.0,Y,280.0,0.0,Normal,2010.0,12.443541126606108,253607.00581221192
20,FV,80.0,Reg,Lvl,Inside,Somerst,7.0,5.0,2002.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1492.0,0.0,1492.0,1.0,0.0,Gd,6.0,Typ,1.0,Gd,RFn,2.0,596.0,Y,277.0,0.0,Normal,2010.0,12.350922934156161,231173.30219006824
20,RL,,IR1,Lvl,Inside,NWAmes,6.0,6.0,1967.0,Hip,HdBoard,TA,CBlock,TA,No,GLQ,Gd,Y,1829.0,0.0,1829.0,1.0,0.0,TA,8.0,Typ,0.0,,RFn,2.0,535.0,Y,0.0,0.0,Normal,2010.0,12.188371227836807,196490.8664099396
60,RL,80.0,Reg,Lvl,Inside,NWAmes,6.0,5.0,1993.0,Gable,MetalSd,TA,PConc,Gd,Mn,GLQ,Ex,Y,1280.0,1215.0,2495.0,1.0,1.0,Gd,9.0,Typ,1.0,TA,Unf,2.0,660.0,Y,224.0,0.0,Normal,2010.0,12.363073679784288,233999.3647948632
50,RL,,IR1,Lvl,Inside,NWAmes,6.0,5.0,1978.0,Gable,MetalSd,TA,PConc,Gd,Mn,ALQ,TA,Y,1287.0,604.0,1891.0,0.0,0.0,TA,7.0,Typ,1.0,TA,RFn,2.0,678.0,Y,0.0,0.0,Normal,2010.0,12.129246175727578,185210.1074793817
60,RL,80.0,Reg,Lvl,Inside,NWAmes,6.0,6.0,1971.0,Gable,MetalSd,TA,CBlock,TA,No,ALQ,TA,Y,930.0,715.0,1645.0,0.0,2.0,TA,7.0,Typ,0.0,,RFn,2.0,441.0,Y,0.0,0.0,Normal,2010.0,12.030219289480383,167748.19412166334
20,RL,80.0,Reg,Lvl,Inside,NAmes,5.0,5.0,1966.0,Hip,VinylSd,TA,CBlock,TA,No,Rec,TA,Y,1232.0,0.0,1232.0,1.0,1.0,TA,6.0,Typ,0.0,,RFn,2.0,490.0,Y,0.0,0.0,Normal,2010.0,11.84833780546321,139851.69315085892
20,RL,90.0,Reg,Lvl,Corner,NAmes,5.0,5.0,1966.0,Hip,HdBoard,TA,PConc,Gd,No,BLQ,Gd,Y,1209.0,0.0,1209.0,1.0,0.0,TA,6.0,Typ,0.0,,RFn,2.0,504.0,Y,0.0,0.0,Normal,2010.0,11.88926714085042,145694.48516517246
20,RL,88.0,Reg,Lvl,Inside,NAmes,5.0,6.0,1967.0,Gable,Wd Sdng,TA,CBlock,TA,No,BLQ,Ex,Y,1510.0,0.0,1510.0,1.0,0.0,Gd,6.0,Typ,0.0,,RFn,2.0,517.0,Y,0.0,204.0,Normal,2010.0,12.01714381406317,165569.0842284903
80,RL,,IR1,Lvl,Inside,NAmes,6.0,5.0,1964.0,Gable,HdBoard,TA,CBlock,TA,No,Unf,TA,Y,1131.0,644.0,1775.0,0.0,0.0,TA,8.0,Typ,0.0,,Unf,2.0,480.0,Y,0.0,0.0,Family,2010.0,11.879872010188452,144332.07646565503
90,RL,98.0,IR1,Lvl,Inside,NAmes,5.0,6.0,2001.0,Hip,HdBoard,TA,CBlock,TA,No,BLQ,TA,Y,1728.0,0.0,1728.0,2.0,0.0,TA,10.0,Typ,0.0,,,0.0,0.0,Y,0.0,0.0,Abnorml,2010.0,11.898444014017507,147037.65861661368
50,RL,68.0,Reg,Lvl,Inside,NAmes,5.0,7.0,2002.0,Gable,MetalSd,Gd,CBlock,TA,No,LwQ,Gd,Y,1929.0,532.0,2461.0,0.0,0.0,TA,7.0,Min2,2.0,Gd,Unf,2.0,400.0,Y,0.0,0.0,Normal,2010.0,12.123633696988616,184173.53129082645
50,RL,120.0,Reg,Lvl,Corner,NAmes,6.0,6.0,1950.0,Gable,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,1019.0,537.0,1556.0,0.0,0.0,TA,6.0,Typ,1.0,Gd,Unf,2.0,470.0,Y,0.0,0.0,Normal,2010.0,11.942993110467306,153736.15156148557
85,RL,75.0,IR1,Lvl,Inside,NAmes,6.0,8.0,2008.0,Gable,HdBoard,TA,CBlock,TA,Gd,GLQ,Gd,Y,1128.0,0.0,1128.0,1.0,0.0,Gd,5.0,Typ,1.0,Gd,Unf,1.0,315.0,Y,238.0,0.0,Normal,2010.0,12.069917982773207,174541.52933593767
90,RL,70.0,Reg,Lvl,Corner,NAmes,5.0,5.0,1958.0,Gable,HdBoard,TA,CBlock,TA,No,Unf,TA,Y,1604.0,0.0,1604.0,0.0,0.0,TA,8.0,Typ,0.0,,Unf,2.0,576.0,Y,42.0,0.0,Normal,2010.0,11.860113898119247,141508.3348860837
20,RL,70.0,Reg,Lvl,Inside,NAmes,7.0,5.0,2009.0,Gable,VinylSd,Gd,PConc,Gd,No,GLQ,Ex,Y,1480.0,0.0,1480.0,1.0,0.0,Gd,7.0,Typ,0.0,,RFn,2.0,620.0,Y,252.0,0.0,Normal,2010.0,12.162716640900335,191514.08597449932
20,RL,,IR1,Lvl,Inside,NAmes,5.0,5.0,1959.0,Hip,MetalSd,TA,CBlock,TA,No,BLQ,TA,Y,1143.0,0.0,1143.0,1.0,0.0,TA,6.0,Typ,0.0,,RFn,1.0,308.0,Y,0.0,0.0,Normal,2010.0,11.750741571443076,126847.59068670573
20,RL,87.0,IR1,Lvl,Inside,NAmes,5.0,5.0,1959.0,Hip,MetalSd,TA,CBlock,TA,No,Rec,Fa,Y,1206.0,0.0,1206.0,0.0,0.0,TA,6.0,Typ,0.0,,RFn,1.0,312.0,Y,0.0,0.0,Normal,2010.0,11.71990885153945,122996.2137720179
20,RL,80.0,Reg,Lvl,Inside,NAmes,6.0,5.0,1959.0,Gable,Wd Sdng,TA,CBlock,TA,No,Rec,Ex,Y,1580.0,0.0,1580.0,1.0,1.0,TA,6.0,Typ,2.0,Gd,Unf,2.0,440.0,Y,0.0,160.0,Normal,2010.0,12.07814376708735,175983.19158247588
50,RL,60.0,Reg,Lvl,Inside,NAmes,4.0,5.0,1956.0,Gable,MetalSd,TA,CBlock,TA,No,Unf,TA,Y,832.0,505.0,1337.0,0.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,263.0,Y,0.0,0.0,Normal,2010.0,11.592143910016715,108244.07500660789
20,RL,60.0,Reg,Lvl,Inside,NAmes,5.0,7.0,1952.0,Gable,WdShing,TA,CBlock,TA,No,BLQ,TA,Y,1064.0,0.0,1064.0,0.0,0.0,Fa,4.0,Typ,0.0,,Unf,1.0,318.0,Y,0.0,0.0,Normal,2010.0,11.691409501869012,119540.38007693052
20,RL,119.0,Reg,Lvl,Corner,NAmes,5.0,6.0,1955.0,Gable,MetalSd,TA,CBlock,TA,No,Rec,TA,Y,972.0,0.0,972.0,0.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,305.0,Y,0.0,0.0,Normal,2010.0,11.652223851483068,114946.7034297565
190,RL,70.0,Reg,Lvl,Inside,NAmes,5.0,5.0,1958.0,Gable,MetalSd,TA,CBlock,TA,Av,Rec,TA,Y,988.0,0.0,988.0,1.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,264.0,Y,0.0,0.0,Abnorml,2010.0,11.59277126503416,108312.00377567126
30,RL,65.0,Reg,Lvl,Corner,NAmes,4.0,7.0,1994.0,Gable,MetalSd,TA,BrkTil,TA,No,Unf,Gd,Y,985.0,0.0,985.0,0.0,0.0,TA,4.0,Typ,0.0,,Unf,2.0,676.0,N,0.0,0.0,Normal,2010.0,11.631210820218936,112556.52514979297
50,RL,60.0,Reg,Lvl,Inside,NAmes,6.0,8.0,2004.0,Gable,WdShing,TA,CBlock,TA,No,ALQ,TA,Y,816.0,408.0,1224.0,1.0,0.0,TA,5.0,Typ,0.0,,Unf,1.0,280.0,Y,414.0,0.0,Normal,2010.0,11.887905182523983,145496.19041323208
20,RL,81.0,IR1,Lvl,Corner,NAmes,5.0,6.0,1960.0,Gable,BrkFace,TA,CBlock,TA,No,Rec,Ex,Y,1175.0,0.0,1175.0,0.0,1.0,TA,6.0,Typ,0.0,,RFn,2.0,484.0,Y,0.0,0.0,Normal,2010.0,11.850792338218294,140195.3853418676
20,RL,80.0,Reg,Lvl,Inside,NAmes,6.0,7.0,1984.0,Hip,Wd Sdng,TA,CBlock,TA,Gd,BLQ,TA,Y,1395.0,0.0,1395.0,1.0,0.0,TA,7.0,Min1,1.0,TA,RFn,2.0,440.0,Y,657.0,240.0,Normal,2010.0,12.154753209543731,189995.03316113134
50,RM,60.0,Reg,Lvl,Corner,OldTown,4.0,5.0,1954.0,Hip,Wd Sdng,TA,PConc,TA,No,ALQ,TA,Y,1157.0,687.0,1844.0,1.0,0.0,TA,9.0,Min2,2.0,Gd,Unf,1.0,240.0,Y,84.0,0.0,Abnorml,2010.0,11.731030154151041,124371.72645454259
30,RM,56.0,Reg,Lvl,Inside,OldTown,5.0,7.0,1950.0,Gable,Wd Sdng,TA,PConc,TA,No,BLQ,TA,Y,936.0,0.0,936.0,1.0,0.0,TA,5.0,Typ,1.0,Gd,,0.0,0.0,P,51.0,0.0,Normal,2010.0,11.591365850886511,108159.88747144587
20,RM,69.0,Reg,Bnk,Inside,OldTown,5.0,7.0,1957.0,Hip,MetalSd,TA,CBlock,TA,Mn,BLQ,Gd,Y,1347.0,0.0,1347.0,1.0,0.0,Gd,6.0,Typ,0.0,,Unf,2.0,551.0,Y,0.0,0.0,Normal,2010.0,11.894669132421164,146483.6551717033
45,RM,50.0,Reg,Lvl,Corner,OldTown,6.0,7.0,2000.0,Gable,MetalSd,TA,PConc,Gd,No,Unf,Gd,Y,827.0,424.0,1251.0,0.0,0.0,Fa,6.0,Typ,0.0,,Unf,1.0,240.0,N,0.0,0.0,Normal,2010.0,11.68464881237231,118734.93045021122
50,RM,69.0,Reg,Lvl,Inside,OldTown,5.0,7.0,2009.0,Gable,VinylSd,TA,BrkTil,TA,No,BLQ,Ex,Y,1027.0,606.0,1633.0,0.0,0.0,Gd,7.0,Typ,1.0,Gd,Unf,1.0,240.0,Y,0.0,0.0,Normal,2010.0,11.886755567157815,145329.02186519088
50,RM,,Reg,Lvl,Inside,OldTown,5.0,6.0,1962.0,Gable,MetalSd,TA,BrkTil,TA,No,Rec,TA,Y,1060.0,185.0,1245.0,0.0,0.0,TA,6.0,Typ,0.0,,Unf,1.0,315.0,Y,0.0,0.0,Normal,2010.0,11.625150134551523,111876.41846924963
30,RM,68.0,Reg,Lvl,Inside,OldTown,2.0,2.0,1970.0,Gable,AsbShng,TA,BrkTil,Fa,No,Unf,TA,N,832.0,0.0,832.0,0.0,0.0,TA,5.0,Typ,1.0,Gd,Unf,2.0,780.0,N,0.0,0.0,Abnorml,2010.0,11.04917845514544,62892.26455923075
70,RM,60.0,Reg,Lvl,Corner,OldTown,8.0,9.0,2003.0,Gable,Wd Sdng,Gd,BrkTil,TA,No,Unf,TA,N,930.0,636.0,1566.0,0.0,0.0,Gd,7.0,Typ,0.0,,Unf,1.0,288.0,Y,54.0,0.0,Abnorml,2010.0,11.859041525271687,141356.66652709816
70,RM,50.0,Reg,Lvl,Inside,OldTown,8.0,9.0,2002.0,Gable,Wd Sdng,Gd,Stone,Fa,No,Unf,Ex,Y,1157.0,1111.0,2268.0,0.0,0.0,Gd,7.0,Typ,0.0,,Unf,2.0,624.0,N,0.0,0.0,Normal,2010.0,12.16334183971206,191633.85779017644
190,RM,100.0,Reg,Lvl,Inside,OldTown,5.0,3.0,1950.0,Gable,MetalSd,TA,BrkTil,TA,Mn,Unf,Fa,N,1128.0,1128.0,2256.0,0.0,0.0,Fa,12.0,Typ,0.0,,,0.0,0.0,N,0.0,0.0,Abnorml,2010.0,11.486143741355988,97357.37264875569
70,RM,60.0,Reg,Lvl,Inside,OldTown,6.0,7.0,1994.0,Gable,Wd Sdng,TA,CBlock,Fa,No,Rec,Ex,Y,868.0,602.0,1470.0,0.0,1.0,TA,6.0,Min1,0.0,,Unf,2.0,624.0,Y,0.0,0.0,Normal,2010.0,11.80518154532109,133944.5979520917
50,RM,53.0,Reg,Lvl,Corner,BrkSide,5.0,6.0,1997.0,Gable,MetalSd,TA,CBlock,TA,No,Rec,Ex,Y,1030.0,582.0,1612.0,0.0,1.0,TA,7.0,Typ,0.0,,Unf,1.0,363.0,Y,0.0,0.0,Normal,2010.0,11.765072442850684,128678.5152340928
